term,label,wiki_news_sim_score,twitter_sim_score,tweet_yes_no,tweet_count,same_section_count,same_paragraph_count,same_sec_yes_no,same_para_yes_no,word_article_yes_no,word_article_count
pilgrim,1,0.4554361701011658,0.1258482038974762,1,150,150,40,1,1,1,278
struck,1,0.3252549469470978,0.5276073217391968,1,89488,540,216,1,1,1,991
crosswalks,1,0.5040268301963806,0.3495579957962036,1,23176,145,139,1,1,1,137
innocent,1,0.4519155323505402,0.2352869659662247,1,9140,122,20,1,1,1,210
malls,1,0.3410630226135254,0.19292311370372767,1,4561,368,203,1,1,1,605
passage,1,0.3392656743526459,0.09397825598716736,1,7406,1034,424,1,1,1,1488
sign,1,0.34004423022270197,0.1941632628440857,1,164623,10538,4831,1,1,1,13293
jaywalking,1,0.4940106868743897,0.23104327917099,1,8342,32,41,1,1,1,28
mind,1,0.34229111671447754,0.11340737342834473,1,59088,772,124,1,1,1,1408
arterial,1,0.475702702999115,0.05996323004364967,1,1736,271,85,1,1,1,437
visibility,1,0.4559968709945679,0.24464203417301175,1,5151,246,82,1,1,1,401
interurban,1,0.4500981867313385,0.08532696217298508,1,10,103,18,1,1,1,163
crossed,1,0.3261241614818573,0.2296928316354752,1,4710,784,279,1,1,1,1414
paths,1,0.4630990028381348,0.29157358407974243,1,32705,1198,794,1,1,1,1544
police,1,0.4164214134216309,0.3517264127731323,1,163292,2023,615,1,1,1,2809
eastbound,1,0.3960508704185486,0.32729893922805786,1,2574,460,155,1,1,1,626
business,1,0.38826048374176025,0.1612057089805603,1,39379,3221,805,1,1,1,5390
tour,1,0.3520210385322571,-0.033193595707416534,1,17083,2705,717,1,1,1,4450
ordinarily,1,0.2688916027545929,0.16671907901763916,1,207,37,5,1,1,1,75
motorized,1,0.5155937671661377,0.20391489565372467,1,2474,284,156,1,1,1,379
unfortunate,1,0.3947009742259979,0.23981931805610654,1,3346,184,42,1,1,1,197
strikes,1,0.3181953430175781,0.3422864079475403,1,4279,184,22,1,1,1,317
knocked,1,0.2855852246284485,0.2960034906864166,1,10802,146,32,1,1,1,263
panhandlers,1,0.4460438191890717,0.18063031136989596,1,95,8,2,1,1,1,11
right,1,0.3679616749286652,0.18440128862857816,1,158849,4421,1110,1,1,1,7377
wayfarer,1,0.472466766834259,0.05313301086425781,1,24,4,1,1,1,1,3
intoxicated,1,0.4419324696063995,0.2725594639778137,1,730,51,13,1,1,1,83
pavements,1,0.4857071936130524,0.1621200442314148,1,22195,128,66,1,1,1,173
pathway,1,0.4310475587844849,0.2548902630805969,1,9702,498,353,1,1,1,620
jostle,1,0.3173117637634277,0.10600546002388,1,87,8,3,1,1,1,12
vehicle,1,0.5493091344833374,0.5524240136146545,1,174473,4135,2648,1,1,1,4683
startled,1,0.2884650528430939,0.32025960087776184,1,333,15,7,1,1,1,27
driver,1,0.5065696835517883,0.4209537506103516,1,250006,1802,810,1,1,1,2362
paseo,1,0.4192511737346649,0.15424183011054993,1,48,108,53,1,1,1,20
facilities,1,0.33598804473876953,0.2367707192897797,1,5634,2201,658,1,1,1,3756
fare,1,0.4119605422019959,0.06813111156225203,1,4614,1371,435,1,1,1,2459
dust,1,0.2678050398826599,0.0706256702542305,1,8682,2622,421,1,1,1,5210
unobstructed,1,0.4382198452949524,0.0396755151450634,1,133,44,14,1,1,1,85
gate,1,0.4114255905151367,0.2853885293006897,1,34055,4006,1484,1,1,1,5458
subway,1,0.5144625306129456,0.2477559447288513,1,4683,1058,532,1,1,1,1231
movement,1,0.386524885892868,0.1935107409954071,1,11982,1331,372,1,1,1,2408
gait,1,0.3892364799976349,0.27459707856178284,1,232,46,11,1,1,1,44
button,1,0.2786388695240021,0.17011082172393802,1,17091,227,82,1,1,1,389
flows,1,0.3362710475921631,0.1548883467912674,1,988,432,130,1,1,1,1068
congestion,1,0.43279606103897095,0.31056761741638184,1,7955,764,254,1,1,1,1161
stand,1,0.33999741077423096,0.09114944189786912,1,49269,4583,1098,1,1,1,7484
local,1,0.4601476192474365,0.17187321186065674,1,28120,5488,1450,1,1,1,8532
guard,1,0.3579409420490265,0.2477816939353943,1,10398,1342,244,1,1,1,1732
corridor,1,0.4447898268699646,0.3537483811378479,1,5538,1144,387,1,1,1,1530
emergency,1,0.3601532578468323,0.3176687955856323,1,13297,943,235,1,1,1,1396
access,1,0.4308407008647919,0.19721584022045133,1,49655,5691,3233,1,1,1,7483
rail,1,0.4920867681503296,0.3951008915901184,1,37750,8291,4208,1,1,1,9540
precincts,1,0.3640826940536499,0.15945687890052795,1,342,77,38,1,1,1,161
covers,1,0.282751202583313,0.04962468892335892,1,4766,608,105,1,1,1,1667
belated,1,0.3413662910461426,0.13339583575725555,1,29,11,3,1,1,1,29
footfall,1,0.4812274873256683,0.19751496613025665,1,1031,27,14,1,1,1,47
crosswalk,1,0.5475706458091736,0.5577405691146851,1,129272,270,265,1,1,1,243
corner,1,0.4171940088272095,0.1827101558446884,1,12562,2126,546,1,1,1,3361
overpass,1,0.4976285696029663,0.5456959009170532,1,6511,651,449,1,1,1,705
railing,1,0.4335116147994995,0.23396171629428866,1,1982,387,151,1,1,1,614
pole,1,0.3148135542869568,0.166309654712677,1,4045,727,136,1,1,1,1356
occasional,1,0.4588705003261566,0.22562770545482635,1,1595,582,125,1,1,1,1339
railroad,1,0.3900245428085327,0.3808600008487701,1,1769,1638,564,1,1,1,1809
behaviour,1,0.3563355803489685,0.2412117421627045,1,6340,188,50,1,1,1,363
collector,1,0.3243154883384705,0.060578152537345886,1,1038,201,40,1,1,1,416
commuter,1,0.5457994341850281,0.3666233420372009,1,5657,987,275,1,1,1,1659
streets,1,0.4532573521137238,0.2726739048957825,1,136022,3537,1865,1,1,1,4230
transportation,1,0.4616147875785828,0.3154377043247223,1,14689,2297,820,1,1,1,2499
roundabout,1,0.5678720474243164,0.4205030500888825,1,10576,540,209,1,1,1,569
rather,1,0.4092395603656769,0.1995260864496231,1,15442,1510,334,1,1,1,2920
inmate,1,0.32128340005874634,0.25680625438690186,1,51,68,3,1,1,1,151
curve,1,0.3610628843307495,0.11529982089996338,1,1644,878,202,1,1,1,1410
verse,1,0.278382420539856,0.1131480485200882,1,6309,1839,400,1,1,1,3929
runs,1,0.26170942187309265,0.2059231698513031,1,8448,2456,862,1,1,1,4610
system,1,0.37985527515411377,0.16252636909484866,1,25470,4605,1474,1,1,1,6740
gates,1,0.3396608829498291,0.10747863352298737,1,5751,1134,434,1,1,1,1711
stoplight,1,0.4844536781311035,0.2895690500736237,1,757,16,6,1,1,1,25
amenities,1,0.36376523971557617,0.1871996521949768,1,1049,399,150,1,1,1,663
railway,1,0.41861051321029663,0.2877567708492279,1,3954,4189,1559,1,1,1,4856
passageway,1,0.4628168344497681,0.11810579895973206,1,505,231,114,1,1,1,310
amenity,1,0.3833907842636109,0.11931972950696945,1,476,81,29,1,1,1,131
